src,tgt,current_line,New Line,Line,abs_src_Length,abs_src_MaxDepDepth,abs_src_MaxDepLength,abs_src_DiffWords,abs_src_Leven,abs_src_WordCount,abs_tgt_Length,abs_tgt_MaxDepDepth,abs_tgt_MaxDepLength,abs_tgt_DiffWords,abs_tgt_Leven,abs_tgt_WordCount,Length_ratio,MaxDepDepth_ratio,MaxDepLength_ratio,DiffWords_ratio,Leven_ratio,WordCount_ratio,abs_src_FreqRank,abs_tgt_FreqRank,FreqRank_ratio,abs_src_FKGL_Grade,abs_tgt_FKGL_Grade,FKGL_Grade_ratio,abs_src_ARI_Grade,abs_tgt_ARI_Grade,ARI_Grade_ratio,similarity,label,"(2, 'label')","(3, 'label')","(4, 'label')","(5, 'label')","(6, 'label')","(7, 'label')","(8, 'label')","(2, 'label').1","(3, 'label').1","(4, 'label').1","(5, 'label').1","(6, 'label').1"
"According to several journalists who studied Opus Dei separately, most of the criticisms against Opus Dei are mere myths created by its opponents, and Opus Dei is considered a sign of contradiction.","One half of Opus Dei leaders are women, he said, and these women also lead men. It is also true, he says, that Opus Dei teaches that women are very good at taking care of their family.",200891,202454,186797,198.0,6.0,17.0,9.0,0.46,32.0,91.5,8.0,10.0,2.0,0.46,18.5,0.46,1.33,0.59,0.22,0.46,0.58,10.37,7.09,0.68,13,7,0.54,14,7,0.5,0.5883254408836365,0,1,1,1,1,0,1,1,1,1,1,1,0
"Since the beginning of Moscow metro, platforms have been built to be at least 155 m long, so as to accommodate eight-car trains.",Most platforms are at least 155 m long.,9761,9838,76566,128.0,5.0,12.0,3.0,0.46,23.0,39.0,4.0,4.0,1.0,0.46,8.0,0.3,0.8,0.33,0.33,0.46,0.35,8.65,7.23,0.84,9,0,0.0,12,1,0.08,0.5236331820487976,0,1,1,1,1,0,1,1,1,1,1,1,0
"In complicated situations, the reviewing administrator may not want to spend a long time reading your whole talk page and all of your contributions.","In complicated situations, the reviewing administrator may not want to spend a long time reading your whole talk page and all of your changes.",70963,71537,211431,148.0,4.0,12.0,5.0,0.95,24.0,142.0,4.0,12.0,4.0,0.95,24.0,0.96,1.0,1.0,0.8,0.95,1.0,8.24,7.68,0.93,13,12,0.92,14,14,1.0,0.9948904514312744,1,1,1,1,1,0,1,1,1,1,1,1,0
"On June 11 2007, Candy Lo released her 10th album ""Process"" after joining her new record company ""WOW Music"".",On June 11 she released her first EP on her new label WOW Music.,182365,183814,241123,109.0,5.0,7.0,3.0,0.6,19.0,64.0,4.0,4.0,2.0,0.6,14.0,0.59,0.8,0.57,0.67,0.6,0.74,8.84,7.95,0.9,8,4,0.5,11,3,0.27,0.7145450711250305,1,1,1,1,1,0,1,1,1,1,1,1,0
They tell of a long-standing rivalry between Susano'o and his sister.,The tales tell of great rivalry between Susano'o and his sister.,51224,51639,213694,69.0,6.0,5.0,3.0,0.83,11.0,64.0,6.0,3.0,2.0,0.83,11.0,0.93,1.0,0.6,0.67,0.83,1.0,8.7,9.38,1.08,8,6,0.75,9,7,0.78,0.7557392716407776,1,1,1,1,1,0,1,1,1,1,1,1,0
"He also briefly trained as a referee so he could be in the same ring as Curt Hennig, of whom he was a big fan.","He also trained for a short time as a referee so he could be in the same ring as Curt Hennig, because he was a fan of him.",196996,198531,158173,110.0,8.0,7.0,2.0,0.79,25.0,122.0,6.0,11.0,2.0,0.79,28.0,1.11,0.75,1.57,1.0,0.79,1.12,8.98,8.73,0.97,8,10,1.25,7,8,1.14,0.9024771451950072,1,1,1,1,1,0,1,1,1,1,1,1,0
The Hipparcos satellite later showed that the star was more distant and therefore brighter resulting in the planet being too hot to be in the habitable zone.,The Hipparcos satellite later showed that the star was farther away from 70 Virginis and therefore its brightness was a result of the planet being too hot to be in the habitable zone.,11201,11294,253189,157.0,8.0,6.0,8.0,0.85,27.0,183.0,10.0,10.0,8.0,0.85,33.0,1.17,1.25,1.67,1.0,0.85,1.22,8.85,9.45,1.07,12,13,1.08,14,14,1.0,0.8800069689750671,1,1,1,1,1,0,1,1,1,1,1,1,0
Böbikon is a municipality in the district of Zurzach in Canton Aargau in Switzerland.,Böbikon is a municipality of the district Zurzach in the canton of Aargau in Switzerland.,55907,56361,107284,85.0,8.0,6.0,5.0,0.91,14.0,89.0,5.0,5.0,5.0,0.91,15.0,1.05,0.62,0.83,1.0,0.91,1.07,12.65,12.65,1.0,9,9,1.0,10,10,1.0,0.963986337184906,1,1,1,1,1,0,1,1,1,1,1,1,0
"There are nearly 20,000 known species of bees in seven to nine recognized families, though many are undescribed and the actual number is probably higher.","There are about 20,000 species of bees.",199025,200576,162529,153.0,7.0,17.0,6.0,0.36,25.0,39.0,3.0,3.0,0.0,0.36,7.0,0.25,0.43,0.18,0.08,0.36,0.28,7.88,9.15,1.16,13,0,0.0,14,4,0.29,0.6649492383003235,1,1,1,1,1,0,1,1,1,1,1,1,0
"After its publication, Nabokov's Lolita attained a classic status, becoming one of the best-known and most controversial examples of 20th century literature.","After its publication, Lolita became a literary classic and also became one of the best-known and most controversial examples of 20th century literature.",160663,161934,284619,157.0,8.0,8.0,9.0,0.86,22.0,153.0,8.0,8.0,8.0,0.86,23.0,0.97,1.0,1.0,0.89,0.86,1.05,8.16,8.15,1.0,13,13,1.0,14,14,1.0,0.8657559752464294,1,1,1,1,1,0,1,1,1,1,1,1,0
"Balance disorder, the loss of natural balance which can be caused by various medical conditions","Balance (Kim-Lian album), an album by Kim-Lian",20176,20342,36257,95.0,5.0,7.0,6.0,0.4,15.0,46.0,4.0,9.0,2.0,0.4,7.0,0.48,0.8,1.29,0.33,0.4,0.47,7.64,10.13,1.33,12,7,0.58,12,9,0.75,0.3852682113647461,0,1,1,1,1,0,1,1,1,1,1,1,0
"And lead us not into temptation, But deliver us from evil.",And lead us not into temptation; but deliver us from evil.,201566,203132,254878,58.0,3.0,7.0,2.0,0.97,11.0,58.0,3.0,7.0,2.0,0.97,11.0,1.0,1.0,1.0,1.0,0.97,1.0,7.89,7.92,1.0,6,6,1.0,5,5,1.0,0.9736670851707458,1,1,1,1,1,0,1,1,1,1,1,1,0
"Bridgeview is a village in Cook County, Illinois in the United States.",Bridgeview is a village in Illinois in the United States.,85053,85744,50726,70.0,7.0,3.0,1.0,0.9,12.0,57.0,4.0,3.0,1.0,0.9,10.0,0.81,0.57,1.0,1.0,0.9,0.83,8.29,8.06,0.97,4,4,1.0,8,6,0.75,0.9372766613960266,1,1,1,1,1,0,1,1,1,1,1,1,0
"These notes contain what is considered the first computer program - that is, an algorithm encoded for processing by a machine.","These notes contain what is considered the first computer program, that is, an algorithm encoded for processing by a machine.",112765,113669,40050,126.0,7.0,6.0,7.0,0.99,21.0,125.0,7.0,6.0,7.0,0.99,20.0,0.99,1.0,1.0,1.0,0.99,0.95,7.89,7.89,1.0,12,12,1.0,14,14,1.0,0.9742190837860109,1,1,1,1,1,0,1,1,1,1,1,1,0
Google search was originally developed by Larry Page and Sergey Brin in 1997.,"Google search was originally developed by Larry Page and Sergey Brin in 1997, based on earier search-engine designs.",79978,80626,84955,77.0,4.0,7.0,3.0,0.8,13.0,116.0,5.0,10.0,5.0,0.8,18.0,1.51,1.25,1.43,1.67,0.8,1.38,9.07,8.65,0.95,7,8,1.14,9,14,1.56,0.8422541618347168,1,1,1,1,1,0,1,1,1,1,1,1,0
The associated royal palace will be the birth place of King Charles I.,Births,104450,105287,119929,70.0,4.0,3.0,1.0,0.13,13.0,6.0,0.0,0.0,0.0,0.13,1.0,0.09,0.12,0.17,0.5,0.13,0.08,8.68,10.92,1.26,6,0,0.0,6,7,1.17,0.1730384528636932,0,1,1,1,1,0,1,1,1,1,1,1,0
British Rail Class 415 (or 4EPB) was a suburban 750 V DC third rail electric multiple unit commissioned by the Southern Region of British Railways.,British Rail Class 415 (or 4EPB) was a suburban 750V DC third rail electric multiple unit commissioned by the Southern Region of British Railways.,194507,196024,61530,147.0,7.0,10.0,5.0,1.0,25.0,146.0,7.0,9.0,5.0,1.0,24.0,0.99,1.0,0.9,1.0,1.0,0.96,8.99,9.15,1.02,11,10,0.91,14,14,1.0,0.9909298419952391,1,1,1,1,1,0,1,1,1,1,1,1,0
"They have also been introduced to all continents except Antarctica, and are serious pest animals.",They have also been introduced to all continents except Antarctica. They are serious pest animals.,132304,133350,271546,97.0,4.0,8.0,5.0,0.95,15.0,48.5,4.0,4.0,5.0,0.95,7.5,0.5,1.0,0.5,1.0,0.95,0.5,9.7,9.2,0.95,12,9,0.75,12,9,0.75,0.8763837814331055,1,1,1,1,1,0,1,1,1,1,1,1,0
"The 1979 season was an average but destructive season with 27 depressions, but only 9 became storms.",Hurricane David,42085,42417,279728,100.0,4.0,13.0,3.0,0.14,17.0,15.0,1.0,1.0,1.0,0.14,2.0,0.15,0.25,0.08,0.33,0.14,0.12,9.31,8.5,0.91,10,9,0.9,10,12,1.2,0.0669644847512245,0,1,1,1,1,0,1,1,1,1,1,1,0
"He cashed in on his weight loss by writing the book My Long Race Towards Myself on his experience, which became an immediate bestseller.","He cashed in on his weight loss by writing the book My long race towards myself about his experience, which became an immediate bestseller.",31890,32145,262966,136.0,7.0,8.0,3.0,0.95,24.0,139.0,8.0,6.0,3.0,0.95,24.0,1.02,1.14,0.75,1.0,0.95,1.0,9.25,7.12,0.77,12,12,1.0,13,13,1.0,0.937647819519043,1,1,1,1,1,0,1,1,1,1,1,1,0
"Founded 1872 in Milan by Giovanni Battista Pirelli, Pirelli initially specialised in rubber and derivative processes.",Pirelli was founded 1872 in Milan by Giovanni Battista Pirelli. Pirelli initially worked in rubber and related processes.,117808,118742,172870,117.0,4.0,11.0,8.0,0.84,16.0,60.0,4.0,4.0,7.0,0.84,9.0,0.51,1.0,0.36,0.88,0.84,0.56,10.42,10.87,1.04,13,8,0.62,14,10,0.71,0.8821219801902771,1,1,1,1,1,0,1,1,1,1,1,1,0
"For the ""Government Districts"" (Regierungsbezirke) see: Regierungsbezirk",States of Germany,46045,46407,250078,72.0,3.0,9.0,3.0,0.2,7.0,17.0,2.0,1.0,1.0,0.2,3.0,0.24,0.67,0.11,0.33,0.2,0.43,11.9,7.15,0.6,7,1,0.14,14,4,0.29,0.2441739737987518,0,1,1,1,1,0,1,1,1,1,1,1,0
Special Programs in Focus: A retrospective and/or a special showcase of films by a certain notable director or genre.,Special Programs in Focus A retrospective and/or a special showcase of films by a certain notable director or genre.,189931,191425,93508,117.0,4.0,5.0,7.0,1.0,19.0,116.0,4.0,8.0,7.0,1.0,19.0,0.99,1.0,1.6,1.0,1.0,1.0,8.97,8.97,1.0,12,12,1.0,13,12,0.92,0.9612299799919128,1,1,1,1,1,0,1,1,1,1,1,1,0
"She also starred in the role of ""Trish"" in the film Trojan War.",Trojan War,17903,18044,183757,63.0,6.0,5.0,2.0,0.27,13.0,10.0,1.0,1.0,1.0,0.27,2.0,0.16,0.17,0.2,0.5,0.27,0.15,9.48,9.18,0.97,4,3,0.75,4,1,0.25,0.4911883473396301,0,1,1,1,1,0,1,1,1,1,1,1,0
Penn is a former UFC Lightweight Champion and UFC Welterweight Champion and was a coach on The Ultimate Fighter 5 reality show.,"Penn is a former one-time UFC Lightweight Champion and one-time UFC Welterweight Champion. Penn was also the coach of the 5th season of The Ultimate Fighter against the other coach, Jens Pulver.",179813,181239,165182,127.0,6.0,11.0,6.0,0.73,22.0,96.5,8.0,8.0,6.0,0.73,16.0,0.76,1.33,0.73,1.0,0.73,0.73,9.24,9.24,1.0,12,8,0.67,12,10,0.83,0.8479382991790771,1,1,1,1,1,0,1,1,1,1,1,1,0
"The island belongs to the municipality of the district of Wittmund, in Lower Saxony in Germany.","The island belongs to the municipality of the district of Wittmund, in Lower Saxony, Germany.",173483,174859,64218,95.0,6.0,10.0,6.0,0.98,16.0,93.0,6.0,10.0,6.0,0.98,15.0,0.98,1.0,1.0,1.0,0.98,0.94,8.84,8.84,1.0,11,10,0.91,10,11,1.1,0.9428489208221436,1,1,1,1,1,0,1,1,1,1,1,1,0
Manuel I Comnenus orders all the Venetians in the Byzantine Empire to be arrested and their property confiscated.,"February 20 - Conan IV, Duke of Brittany (b. 1138)",162588,163876,247869,113.0,4.0,10.0,8.0,0.27,18.0,24.5,4.0,6.0,2.0,0.27,5.0,0.22,1.0,0.6,0.25,0.27,0.28,10.04,9.81,0.98,12,4,0.33,13,4,0.31,0.1562758684158325,0,1,1,1,1,0,1,1,1,1,1,1,0
"In 1072 a Benedictine monastery of Grafschaft was founded near the Wilzenberg mountain by Saint Anno II, Archbishop of Cologne.","The Benedictine monastery began in 1072 near Schmallenberg on a site at the foot of the Wilzenberg mountain, by Saint Anno, Archbishop of Cologne.",196077,197603,19544,127.0,4.0,8.0,6.0,0.71,20.0,146.0,7.0,16.0,5.0,0.71,24.0,1.15,1.75,2.0,0.83,0.71,1.2,10.5,10.35,0.99,10,10,1.0,14,14,1.0,0.8966777324676514,1,1,1,1,1,0,1,1,1,1,1,1,0
Tokio Hotel is a pop rock band from Germany.,"August 15, 2005: Durch Den Monsun",82344,83014,166786,44.0,3.0,4.0,1.0,0.29,9.0,33.0,1.0,3.0,1.0,0.29,6.0,0.75,0.33,0.75,1.0,0.29,0.67,7.77,12.73,1.64,2,2,1.0,2,4,2.0,0.4818266928195953,0,1,1,1,1,0,1,1,1,1,1,1,0
"The Reichstein process, developed in the 1930s, uses a single pre-fermentation followed by a purely chemical route.",The Reichstein process developed in the 1930s uses a single pre-fermentation followed by a purely chemical route.,31809,32061,8322,115.0,6.0,7.0,7.0,0.99,17.0,113.0,6.0,5.0,7.0,0.99,17.0,0.98,1.0,0.71,1.0,0.99,1.0,9.18,9.18,1.0,12,12,1.0,14,14,1.0,0.9112394452095032,1,1,1,1,1,0,1,1,1,1,1,1,0
"Bu Bing (or Wai Bing) (Chinese:, born Zi Sheng, Chinese:) was a Shang Dynasty King of China.",He was the third king of the Shang Dynasty (1600 BC - 1046 BC).,127822,128837,66120,92.0,4.0,16.0,2.0,0.43,17.0,63.0,6.0,6.0,1.0,0.43,14.0,0.68,1.5,0.38,0.5,0.43,0.82,10.86,9.06,0.83,5,2,0.4,8,3,0.38,0.7207390069961548,0,1,1,1,1,0,1,1,1,1,1,1,0
It later debuted on the UK Singles Chart at position number 50.,It debuted on the UK Singles Chart (published 3 August 2008) at position number 50.,203908,205498,190935,63.0,4.0,6.0,4.0,0.78,12.0,83.0,4.0,7.0,4.0,0.78,15.0,1.32,1.0,1.17,1.0,0.78,1.25,9.32,9.31,1.0,8,8,1.0,5,8,1.6,0.7788591384887695,1,1,1,1,1,0,1,1,1,1,1,1,0
"The word AvatÄ ra, (Sanskrit:), which means ""descent""; its roots are ava, ""down,"" and tri, ""to pass.""","The word AvatÄ ra, (Sanskrit:), which means ""descent""; its roots are ava means ""down,"" and tri means ""to pass.""",97604,98379,162715,101.0,4.0,16.0,2.0,0.93,17.0,111.0,4.0,16.0,2.0,0.93,19.0,1.1,1.0,1.0,1.0,0.93,1.12,10.88,10.6,0.97,4,5,1.25,11,11,1.0,0.9571860432624816,1,1,1,1,1,0,1,1,1,1,1,1,0
"Kingdom Hearts was followed by several sequels, becoming the first game in the Kingdom Hearts series.",Kingdom Hearts is the first game of the Kingdom Hearts series.,178772,180192,88417,101.0,6.0,5.0,3.0,0.72,16.0,62.0,5.0,4.0,1.0,0.72,11.0,0.61,0.83,0.8,0.33,0.72,0.69,8.68,8.68,1.0,10,4,0.4,12,6,0.5,0.8540498614311218,1,1,1,1,1,0,1,1,1,1,1,1,0
In his last months he was cared for by the local Aborigines.,In his last months the local Aborigines looked after him.,27751,27976,193764,60.0,3.0,6.0,2.0,0.68,12.0,57.0,3.0,7.0,2.0,0.68,10.0,0.95,1.0,1.17,1.0,0.68,0.83,8.46,6.78,0.8,4,5,1.25,4,6,1.5,0.8094679117202759,1,1,1,1,1,0,1,1,1,1,1,1,0
"Ueslei Raimundo Pereira da Silva or better known as Ueslei (born 19 April 1972 in Salvador, Brazil) is a Brazilian former football player.",Ueslei Raimundo Pereira da Silva (born 19 April 1972) is a former Brazilian football player.,122498,123466,286631,138.0,5.0,16.0,5.0,0.75,23.0,92.0,4.0,7.0,4.0,0.75,15.0,0.67,0.8,0.44,0.8,0.75,0.65,9.84,10.05,1.02,9,7,0.78,14,11,0.79,0.8722590208053589,1,1,1,1,1,0,1,1,1,1,1,1,0
Ulong would win no immunity challenges and few reward challenges.,Ulong won no immunity challenges and only three reward challenges.,167520,168845,27246,65.0,3.0,4.0,2.0,0.87,10.0,66.0,4.0,5.0,2.0,0.87,10.0,1.02,1.33,1.25,1.0,0.87,1.0,9.1,9.29,1.02,7,8,1.14,10,10,1.0,0.7779702544212341,1,1,1,1,1,0,1,1,1,1,1,1,0
Quaid had starring roles in the films Enemy Mine (/O1985/O) and Innerspace (/O1987/O).,Innerspace (/O1987/O),71618,72194,64909,86.0,5.0,14.0,2.0,0.39,13.0,21.0,1.0,4.0,1.0,0.39,2.0,0.24,0.2,0.29,0.5,0.39,0.15,12.04,13.73,1.14,5,3,0.6,12,14,1.17,0.9103406667709352,0,1,1,1,1,0,1,1,1,1,1,1,0
"Joseph Willem Mengelberg (28 March 1871 â ""21 March 1951) was a Dutch conductor, famous for his performances of Mahler and Strauss with the Concertgebouw Orchestra.","Willem Mengelberg (born Utrecht, 28 March 1871; died Zuort, Switzerland, 22 March 1951) was a Dutch conductor.",49842,50241,40148,164.0,7.0,5.0,5.0,0.51,26.0,110.0,5.0,9.0,2.0,0.51,17.0,0.67,0.71,1.8,0.4,0.51,0.65,10.36,10.41,1.0,12,6,0.5,14,13,0.93,0.8023262023925781,1,1,1,1,1,0,1,1,1,1,1,1,0
"Telford's population is ethnically White, comprising 93.8% of the population.","The population of Telford is 150,000.",117320,118248,205739,77.0,5.0,4.0,3.0,0.4,10.0,37.0,3.0,3.0,1.0,0.4,6.0,0.48,0.6,0.75,0.33,0.4,0.6,9.65,10.02,1.04,11,4,0.36,13,7,0.54,0.6199142932891846,0,1,1,1,1,0,1,1,1,1,1,1,0
All contemporary titles are commonly translated into English with the Anglo-Saxon equivalent of Town Mayor.,The title is usually translated into English as Mayor.,65097,65633,179420,107.0,5.0,5.0,7.0,0.56,15.0,54.0,2.0,3.0,2.0,0.56,9.0,0.5,0.4,0.6,0.29,0.56,0.6,8.67,8.08,0.93,13,10,0.77,14,7,0.5,0.630696713924408,1,1,1,1,1,0,1,1,1,1,1,1,0
"Throughout most of the Arab and Muslim worlds, Hezbollah is referred to as a resistance movement, engaged in national defense. Even within Lebanon, Hezbollah's status is contentious.",Lebanon sees Hezbollah as a legitimate resistance movement.,17214,17351,120925,90.5,6.0,11.0,12.0,0.37,13.5,59.0,3.0,4.0,4.0,0.37,8.0,0.65,0.5,0.36,0.33,0.37,0.59,8.99,9.01,1.0,9,10,1.11,12,13,1.08,0.6203081607818604,1,1,1,1,1,0,1,1,1,1,1,1,0
"During the Six-Day War of 1967, the Israelis captured Egypt's Sinai Peninsula all the way to the Suez Canal, which became the cease-fire line, and roughly half of Syria's Golan Heights. On June 19, 1967, the National Unity Government of Israel voted unanimously to return the Sinai to Egypt and the Golan Heights to Syria in return for peace agreements.","The Sinai and the Golan Heights belonged to Egypt and Syria, but they were occupied by Israel since 1967.",1500,1504,259323,176.0,8.0,12.0,12.0,0.31,30.0,105.0,3.0,9.0,4.0,0.31,19.0,0.6,0.38,0.75,0.33,0.31,0.63,9.23,9.24,1.0,13,7,0.54,14,10,0.71,0.6749696731567383,0,1,1,1,1,0,1,1,1,1,1,1,0
Ununpentium () is the temporary name of a synthetic superheavy element in the periodic table that has the temporary symbol Uup and has the atomic number 115.,It has the symbol Uup.,209345,210980,24752,157.0,5.0,11.0,8.0,0.23,27.0,22.0,2.0,3.0,1.0,0.23,5.0,0.14,0.4,0.27,0.12,0.23,0.19,9.55,11.52,1.21,13,0,0.0,14,0,0.0,0.4711683392524719,0,1,1,1,1,0,1,1,1,1,1,1,0
